filename,count,count1
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-34_Flatbush_Ave__Willoughby.jpg,187,12
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-16_Flatbush_Ave__Willoughby.jpg,188,12
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-36_Flatbush_Ave__Willoughby.jpg,189,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-42_Flatbush_Ave__Willoughby.jpg,190,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-57_Flatbush_Ave__Willoughby.jpg,191,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-57_Flatbush_Ave__Willoughby.jpg,192,12
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-03_Flatbush_Ave__Willoughby.jpg,193,11
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-47_Flatbush_Ave__Willoughby.jpg,194,12
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-13_Flatbush_Ave__Willoughby.jpg,195,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-19_Flatbush_Ave__Willoughby.jpg,196,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-24_Flatbush_Ave__Willoughby.jpg,197,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-47_Flatbush_Ave__Willoughby.jpg,198,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-29_Flatbush_Ave__Willoughby.jpg,199,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-55_Flatbush_Ave__Willoughby.jpg,200,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-01_Flatbush_Ave__Willoughby.jpg,201,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-05_Flatbush_Ave__Willoughby.jpg,202,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-23_Flatbush_Ave__Willoughby.jpg,203,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-39_Flatbush_Ave__Willoughby.jpg,204,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-02_Flatbush_Ave__Willoughby.jpg,205,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-19_Flatbush_Ave__Willoughby.jpg,206,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-16_Flatbush_Ave__Willoughby.jpg,207,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-03_Flatbush_Ave__Willoughby.jpg,208,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-39_Flatbush_Ave__Willoughby.jpg,209,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-25_Flatbush_Ave__Willoughby.jpg,210,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-58_Flatbush_Ave__Willoughby.jpg,211,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-07_Flatbush_Ave__Willoughby.jpg,212,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-20_Flatbush_Ave__Willoughby.jpg,213,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-52_Flatbush_Ave__Willoughby.jpg,214,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-47_Flatbush_Ave__Willoughby.jpg,215,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-12_Flatbush_Ave__Willoughby.jpg,216,5
